fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular,palabras_encontradas,cantidad_palabras
2026-06-01,2026-W23,provincial,RED 23 NOTICIAS,Tierra del Fuego,Patagonia,Río Grande,https://www.red23noticias.com.ar,FAGDUT profundiza el reclamo con paro docente en todo el país,"paro, reclamo",2
2026-06-01,2026-W23,provincial,RED 23 NOTICIAS,Tierra del Fuego,Patagonia,Río Grande,https://www.red23noticias.com.ar,SUTEF confirmó un nuevo paro y crece el deterioro del ciclo lectivo,paro,1
2026-06-01,2026-W23,nacional,TIEMPO ARGENTINO,Nacional,Nacional,Nacional,https://www.tiempoar.com.ar,Los metrodelegados levantaron el paro sorpresivo en la Línea C y se normaliza el servicio de subtes,paro,1
2026-06-01,2026-W23,nacional,TIEMPO ARGENTINO,Nacional,Nacional,Nacional,https://www.tiempoar.com.ar,llamado a una masiva marcha para este miércoles,marcha,1
2026-06-01,2026-W23,nacional,LA PRENSA,Nacional,Nacional,Nacional,https://www.laprensa.com.ar,Subte: se levantó el paro y la línea C ya circula entre cabeceras,paro,1
2026-06-01,2026-W23,nacional,ÁMBITO FINANCIERO,Nacional,Nacional,Nacional,https://www.ambito.com,Se levantó el paro en el subte C tras horas de caos y demoras que afectaron a miles de pasajeros en Constitución,paro,1
2026-06-21,2026-W25,provincial,LA VOZ DEL INTERIOR,Córdoba,Centro,Córdoba,https://www.lavoz.com.ar,Diversidad. Córdoba tendrá dos marchas del orgullo este año: convocan a una movilización contra los crímenes de odio,movilización,1
2026-06-21,2026-W25,provincial,EL DIARIO,Córdoba,Centro,Villa Carlos Paz,https://www.eldiariodecarlospaz.com.ar,“Hay otra persona más”: el fuerte reclamo de los abuelos de Agostina Vega,reclamo,1
2026-06-21,2026-W25,provincial,EL DIARIO DEL CENTRO DEL PAÍS,Córdoba,Centro,Villa María,https://www.eldiariocba.com.ar,Paro en tres centros médicos,paro,1
2026-06-21,2026-W25,provincial,EL ZONDA,San Juan,Cuyo,San Juan,https://www.diarioelzondasj.com.ar,Movilización peronista. Cristina Kirchner saludó desde su balcón a la militancia llegada tras la marcha en Parque Lezama,"movilización, marcha",2
2026-06-21,2026-W25,provincial,NUEVO DIARIO,Salta,NOA,Salta,https://www.nuevodiariodesalta.com.ar,Ordenaron monitorear la marcha del miércoles en el marco del protocolo antipiquetes,marcha,1
2026-06-21,2026-W25,provincial,NORTE,Chaco,NEA,Resistencia,https://www.diarionorte.com,En Resistencia. Familias chaqueñas que buscan justicia convocan a una marcha este domingo,marcha,1
